date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:49	150551/150551	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:12%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Plantas_Cafe_105155_7a7bdb53-83b0-4fb9-af9d-0f8c178372f3_1024x1024.jpg?v=1545856304	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Plantas_Cafe_105155_7a7bdb53-83b0-4fb9-af9d-0f8c178372f3_1024x10246be6.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:52	135821/135821	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:17%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/premios_gastro_1024x1024.jpg?v=1544287991	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/premios_gastro_1024x10249c02.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:58	115133/115133	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:26%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_3765_1024x1024.jpg?v=1544291280	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_3765_1024x1024853c.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:58	48734/48734	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:36%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Costilla_Adan_104586_grande.jpg?v=1544291203	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Costilla_Adan_104586_grande69be.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:04	168681/168681	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:24%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_6bbb29da-968d-477a-b3fa-bab504aee045_1024x1024.jpg?v=1544811638	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_6bbb29da-968d-477a-b3fa-bab504aee045_1024x10249641.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:05	81381/81381	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:39%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_2452_1024x1024.JPG?v=1544290994	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_2452_1024x1024ee91.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:19	128440/128440	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:45%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_1618_1024x1024.jpg?v=1544290908	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/IMG_1618_1024x1024952e.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:27	140543/140543	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:50%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/botellas_1024x1024.jpg?v=1544288047	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/botellas_1024x1024f2e6.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:29	189236/189236	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:46%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Gamba_102295_1024x1024.jpg?v=1544290857	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Gamba_102295_1024x1024865c.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:21:30	154601/154601	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:52%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_1024x1024.jpg?v=1544290751	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_1024x102419fa.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
